"","Year","Avg.Temp","Crop","Yield","Entity","Code","Annual.precipitation"
"1",1961,8.81,"Barley",3262.4,"United Kingdom","GBR",874.0966
"2",1961,8.81,"Rape or colza seed",2500,"United Kingdom","GBR",874.0966
"3",1961,8.81,"Wheat",3537.2,"United Kingdom","GBR",874.0966
"4",1962,7.74,"Barley",3635.5,"United Kingdom","GBR",860.97845
"5",1962,7.74,"Rape or colza seed",2500,"United Kingdom","GBR",860.97845
"6",1962,7.74,"Wheat",4352.7,"United Kingdom","GBR",860.97845
"7",1963,7.64,"Barley",3515.5,"United Kingdom","GBR",859.13385
"8",1963,7.64,"Rape or colza seed",2500,"United Kingdom","GBR",859.13385
"9",1963,7.64,"Wheat",3905.1,"United Kingdom","GBR",859.13385
"10",1964,8.5,"Barley",3694.3,"United Kingdom","GBR",813.12103
"11",1964,8.5,"Rape or colza seed",2500,"United Kingdom","GBR",813.12103
"12",1964,8.5,"Wheat",4247.5,"United Kingdom","GBR",813.12103
"13",1965,7.92,"Barley",3751.7,"United Kingdom","GBR",982.92487
"14",1965,7.92,"Rape or colza seed",2500,"United Kingdom","GBR",982.92487
"15",1965,7.92,"Wheat",4065.3,"United Kingdom","GBR",982.92487
"16",1966,8.42,"Barley",3516.2,"United Kingdom","GBR",990.3971
"17",1966,8.42,"Rape or colza seed",2489.8,"United Kingdom","GBR",990.3971
"18",1966,8.42,"Wheat",3835.5,"United Kingdom","GBR",990.3971
"19",1967,8.62,"Barley",3777.8,"United Kingdom","GBR",1028.5586
"20",1967,8.62,"Rape or colza seed",2491.8,"United Kingdom","GBR",1028.5586
"21",1967,8.62,"Wheat",4183.2,"United Kingdom","GBR",1028.5586
"22",1968,8.35,"Barley",3444.7,"United Kingdom","GBR",1013.82654
"23",1968,8.35,"Rape or colza seed",2492.3,"United Kingdom","GBR",1013.82654
"24",1968,8.35,"Wheat",3547.1,"United Kingdom","GBR",1013.82654
"25",1969,8.29,"Barley",3590.3,"United Kingdom","GBR",898.63306
"26",1969,8.29,"Rape or colza seed",1674.9,"United Kingdom","GBR",898.63306
"27",1969,8.29,"Wheat",4038.3,"United Kingdom","GBR",898.63306
"28",1970,8.46,"Barley",3356.6,"United Kingdom","GBR",1013.8404
"29",1970,8.46,"Rape or colza seed",2029,"United Kingdom","GBR",1013.8404
"30",1970,8.46,"Wheat",4193.9,"United Kingdom","GBR",1013.8404
"31",1971,8.95,"Barley",3740,"United Kingdom","GBR",899.6
"32",1971,8.95,"Rape or colza seed",1931.2,"United Kingdom","GBR",899.6
"33",1971,8.95,"Wheat",4389,"United Kingdom","GBR",899.6
"34",1972,8.29,"Barley",4040.3,"United Kingdom","GBR",962.6726
"35",1972,8.29,"Rape or colza seed",2034.9,"United Kingdom","GBR",962.6726
"36",1972,8.29,"Wheat",4241.2,"United Kingdom","GBR",962.6726
"37",1973,8.62,"Barley",3972.2,"United Kingdom","GBR",840.81165
"38",1973,8.62,"Rape or colza seed",2215.3,"United Kingdom","GBR",840.81165
"39",1973,8.62,"Wheat",4365.4,"United Kingdom","GBR",840.81165
"40",1974,8.57,"Barley",4124.6,"United Kingdom","GBR",1080.5391
"41",1974,8.57,"Rape or colza seed",2263.8,"United Kingdom","GBR",1080.5391
"42",1974,8.57,"Wheat",4971.2,"United Kingdom","GBR",1080.5391
"43",1975,8.97,"Barley",3630.3,"United Kingdom","GBR",863.9026
"44",1975,8.97,"Rape or colza seed",1564.1,"United Kingdom","GBR",863.9026
"45",1975,8.97,"Wheat",4334.4,"United Kingdom","GBR",863.9026
"46",1976,8.91,"Barley",3505,"United Kingdom","GBR",886.348
"47",1976,8.91,"Rape or colza seed",2312.5,"United Kingdom","GBR",886.348
"48",1976,8.91,"Wheat",3850.5,"United Kingdom","GBR",886.348
"49",1977,8.49,"Barley",4387.2,"United Kingdom","GBR",1002.9757
"50",1977,8.49,"Rape or colza seed",2561.4,"United Kingdom","GBR",1002.9757
"51",1977,8.49,"Wheat",4900.6,"United Kingdom","GBR",1002.9757
"52",1978,8.43,"Barley",4188.3,"United Kingdom","GBR",985.89
"53",1978,8.43,"Rape or colza seed",2415.6,"United Kingdom","GBR",985.89
"54",1978,8.43,"Wheat",5252.6,"United Kingdom","GBR",985.89
"55",1979,7.8,"Barley",4106.4,"United Kingdom","GBR",1078.2223
"56",1979,7.8,"Rape or colza seed",2670.3,"United Kingdom","GBR",1078.2223
"57",1979,7.8,"Wheat",5229.2,"United Kingdom","GBR",1078.2223
"58",1980,8.42,"Barley",4429.4,"United Kingdom","GBR",1087.3555
"59",1980,8.42,"Rape or colza seed",3268.9,"United Kingdom","GBR",1087.3555
"60",1980,8.42,"Wheat",5878.2,"United Kingdom","GBR",1087.3555
"61",1981,8.33,"Barley",4396.2,"United Kingdom","GBR",1085.6637
"62",1981,8.33,"Rape or colza seed",2600,"United Kingdom","GBR",1085.6637
"63",1981,8.33,"Wheat",5841.7,"United Kingdom","GBR",1085.6637
"64",1982,8.81,"Barley",4932.5,"United Kingdom","GBR",1106.2944
"65",1982,8.81,"Rape or colza seed",3333.3,"United Kingdom","GBR",1106.2944
"66",1982,8.81,"Wheat",6205.7,"United Kingdom","GBR",1106.2944
"67",1983,8.95,"Barley",4654.9,"United Kingdom","GBR",1012.6398
"68",1983,8.95,"Rape or colza seed",2545,"United Kingdom","GBR",1012.6398
"69",1983,8.95,"Wheat",6371.7,"United Kingdom","GBR",1012.6398
"70",1984,8.71,"Barley",5590.7,"United Kingdom","GBR",979.9922
"71",1984,8.71,"Rape or colza seed",3431.2,"United Kingdom","GBR",979.9922
"72",1984,8.71,"Wheat",7720.5,"United Kingdom","GBR",979.9922
"73",1985,7.95,"Barley",4954.2,"United Kingdom","GBR",1049.9714
"74",1985,7.95,"Rape or colza seed",3010.1,"United Kingdom","GBR",1049.9714
"75",1985,7.95,"Wheat",6333.3,"United Kingdom","GBR",1049.9714
"76",1986,7.8,"Barley",5223.8,"United Kingdom","GBR",1119.2472
